,year,fips,state,state_po,county,office,candidate,party,candidatevotes,totalvotes,version,democrat_candidate,democrat_votes,republican_candidate,republican_votes,green_candidate,green_votes,other_candidate,other_votes,dem_share,rep_share
12787,2016,13055,Georgia,GA,Chattooga,President,Hillary Clinton,democrat,1613.0,8252,20191203,Hillary Clinton,1613.0,Donald Trump,6462.0,,,Other,177.0,0.19546776539020844,0.7830828889966068
12788,2016,13057,Georgia,GA,Cherokee,President,Hillary Clinton,democrat,25231.0,112043,20191203,Hillary Clinton,25231.0,Donald Trump,80649.0,,,Other,6163.0,0.22519032871308337,0.719804003819962
12789,2016,13059,Georgia,GA,Clarke,President,Hillary Clinton,democrat,29603.0,44976,20191203,Hillary Clinton,29603.0,Donald Trump,12717.0,,,Other,2656.0,0.658195482034863,0.2827508004268943
12790,2016,13061,Georgia,GA,Clay,President,Hillary Clinton,democrat,697.0,1273,20191203,Hillary Clinton,697.0,Donald Trump,566.0,,,Other,10.0,0.5475255302435192,0.44461901021209743
12791,2016,13063,Georgia,GA,Clayton,President,Hillary Clinton,democrat,78220.0,92859,20191203,Hillary Clinton,78220.0,Donald Trump,12645.0,,,Other,1994.0,0.8423523837215563,0.13617419959293123
12792,2016,13065,Georgia,GA,Clinch,President,Hillary Clinton,democrat,686.0,2455,20191203,Hillary Clinton,686.0,Donald Trump,1727.0,,,Other,42.0,0.2794297352342159,0.7034623217922606
12793,2016,13067,Georgia,GA,Cobb,President,Hillary Clinton,democrat,160121.0,330819,20191203,Hillary Clinton,160121.0,Donald Trump,152912.0,,,Other,17786.0,0.4840139169757481,0.4622225446543276
12794,2016,13069,Georgia,GA,Coffee,President,Hillary Clinton,democrat,4094.0,13915,20191203,Hillary Clinton,4094.0,Donald Trump,9588.0,,,Other,233.0,0.29421487603305785,0.6890406036651096
12795,2016,13071,Georgia,GA,Colquitt,President,Hillary Clinton,democrat,3463.0,13624,20191203,Hillary Clinton,3463.0,Donald Trump,9898.0,,,Other,263.0,0.2541837933059307,0.7265120375807399
12796,2016,13073,Georgia,GA,Columbia,President,Hillary Clinton,democrat,18887.0,64743,20191203,Hillary Clinton,18887.0,Donald Trump,43085.0,,,Other,2771.0,0.29172265727569,0.665477348902584
12797,2016,13075,Georgia,GA,Cook,President,Hillary Clinton,democrat,1753.0,6057,20191203,Hillary Clinton,1753.0,Donald Trump,4176.0,,,Other,128.0,0.2894172032359254,0.6894502228826151
12798,2016,13077,Georgia,GA,Coweta,President,Hillary Clinton,democrat,16583.0,61745,20191203,Hillary Clinton,16583.0,Donald Trump,42533.0,,,Other,2629.0,0.2685723540367641,0.6888492995384241
12799,2016,13079,Georgia,GA,Crawford,President,Hillary Clinton,democrat,1421.0,5176,20191203,Hillary Clinton,1421.0,Donald Trump,3635.0,,,Other,120.0,0.2745363214837713,0.7022797527047914
12800,2016,13081,Georgia,GA,Crisp,President,Hillary Clinton,democrat,2837.0,7512,20191203,Hillary Clinton,2837.0,Donald Trump,4549.0,,,Other,126.0,0.37766240681576146,0.6055644302449414
12801,2016,13083,Georgia,GA,Dade,President,Hillary Clinton,democrat,965.0,6242,20191203,Hillary Clinton,965.0,Donald Trump,5051.0,,,Other,226.0,0.15459788529317525,0.8091957705863505
12802,2016,13085,Georgia,GA,Dawson,President,Hillary Clinton,democrat,1448.0,11765,20191203,Hillary Clinton,1448.0,Donald Trump,9900.0,,,Other,417.0,0.12307692307692308,0.8414789630259244
